x,Contralateral,Ipsilateral
347.356,3.3745,3.6049
351.451,3.5541,3.6674
352.513,3.6032,3.6859
355.108,3.7547,3.7345
356.16,3.9421,3.7557
358.948,4.143,3.8179
359.439,4.1751,3.83
362.169,4.3507,3.9038
365.49,4.5233,4.0091
366.043,4.5512,4.0284
369.802,4.759,4.1886
369.914,4.7656,4.1943
374.207,5.0495,4.4332
374.748,5.096,4.4653
376.773,5.2782,4.5887
379.044,5.4127,4.7353
380.427,5.4927,4.8323
381.829,5.6048,4.95
382.569,5.6589,5.0337
383.528,5.7168,5.1651
385.218,5.8086,5.4288
385.838,5.8409,5.6024
386.871,5.8941,5.6753
389.058,6.014,5.817
390.309,6.1017,5.9475
391.185,6.1727,6.0667
393.74,6.3876,6.3511
394.162,6.4205,6.3959
396.304,6.555,6.5867
397.386,6.6073,6.6527
399.959,6.7248,6.7943
401.049,6.7731,6.8632
403.176,6.8598,7.0228
405.583,6.9318,7.2052
406.608,6.9554,7.2652
411.782,7.0541,7.4862
412.943,7.0757,7.5345
416.309,7.1417,7.6796
420.088,7.2128,7.8243
421.488,7.2345,7.8728
425.937,7.3015,8.0122
428.837,7.3603,8.0794
433.08,7.4455,8.0981
434.483,7.4695,8.0917
441.218,7.5619,8.0898
441.748,7.5683,8.0901
447.954,7.6346,8.088
450.422,7.6562,8.0846
454.04,7.6838,8.0724
460.186,7.7231,8.0408
462.52,7.7351,8.0283
467.087,7.7354,8.0062
467.136,7.735,8.0059
472.15,7.6433,7.9753
472.959,7.6204,7.9698
476.084,7.517,7.944
478.183,7.435,7.9197
478.927,7.412,7.9097
483.509,7.3064,7.8403
484.718,7.282,7.8205
487.648,7.2427,7.7714
491.255,7.2165,7.7144
495.478,7.1919,7.6542
497.574,7.1801,7.6154
502.38,7.1541,7.468
505.047,7.1405,7.4001
509.359,7.1205,7.3201
513.961,7.1033,7.3053
514.142,7.1028,7.3049
519.802,7.0818,7.2407
520.919,7.0736,7.212
523.517,7.0487,7.1215
529.19,6.9878,7.0169
529.402,6.9858,7.0156
535.717,6.9374,7.0127
537.008,6.9262,7.0065
542.685,6.852,6.9099
543.984,6.8254,6.8725
548.579,6.6974,6.6836
548.581,6.6973,6.6835
554.046,6.5013,6.4508
554.493,6.4816,6.4316
558.213,6.3167,6.2846
559.519,6.2703,6.2456
565.637,6.1165,6.0809
566.503,6.0946,6.0587
572.403,5.9122,5.9094
573.931,5.8699,5.87
