x,Contralateral,Ipsilateral
512.049,4.2067,5.002
513.648,4.1906,4.9598
520.069,4.1847,4.7986
526.925,4.2704,4.6168
528.351,4.2947,4.572
534.786,4.393,4.4232
537.071,4.4185,4.4182
547.083,4.4559,4.4127
547.496,4.4517,4.4091
550.906,4.2707,4.3544
553.228,4.0829,4.2912
555.491,3.9784,4.2191
558.366,3.8808,4.1432
561.724,3.8271,4.0607
563.552,3.8176,4.0088
569.4,3.789,3.8347
570.113,3.7824,3.8146
576.087,3.6769,3.6603
578.512,3.6095,3.5947
584.248,3.4327,3.418
588.247,3.3171,3.2871
591.338,3.2304,3.1861
596.703,3.056,3.0121
597.439,3.0239,2.9883
599.259,2.9168,2.9295
